timestamp,document_no,vendor_no,vendor_invoice_no,status,error
2025-05-19T14:40:43.200279,FCA25000595,FN0000143,FT FT25/0011221,SUCCESS,
2025-05-19T14:41:43.128245,FCA25000595,FN0000143,FT FT25/0011221,SUCCESS,
2025-05-19T14:41:43.251837,FCA25000596,FN0000171,FT FV25/00898,SUCCESS,
2025-05-19T14:42:42.222056,FCA25000596,FN0000171,FT FV25/00898,SUCCESS,
2025-05-19T14:42:42.372297,FCA25000597,FN0000695,FT 1/960,SUCCESS,
2025-05-19T14:43:40.486524,FCA25000597,FN0000695,FT 1/960,SUCCESS,
2025-05-19T14:43:40.578207,FCA25000598,FN0000695,FT 1/1019,SUCCESS,
2025-05-19T14:44:38.546370,FCA25000598,FN0000695,FT 1/1019,SUCCESS,
2025-05-19T14:44:38.642826,FCA25000599,FN0000063,FT 2025A1/2582,SUCCESS,
2025-05-19T14:45:36.138114,FCA25000599,FN0000063,FT 2025A1/2582,SUCCESS,
2025-05-19T14:45:36.228560,FCA25000600,FN0000063,FT 2025A1/2671,SUCCESS,
2025-05-19T14:46:32.128438,FCA25000600,FN0000063,FT 2025A1/2671,SUCCESS,
2025-05-19T14:46:32.228315,FCA25000601,FN0000781,NC 2025/2,SUCCESS,
2025-05-19T14:47:28.808527,FCA25000601,FN0000781,NC 2025/2,SUCCESS,
2025-05-19T14:47:28.918403,FCA25000602,FN0000077,FT FA.2025/20252808,SUCCESS,
2025-05-19T14:48:24.706634,FCA25000602,FN0000077,FT FA.2025/20252808,SUCCESS,
2025-05-19T14:48:24.855330,FCA25000603,FN0000077,FT FA.2025/20252828,SUCCESS,
2025-05-19T14:49:22.264434,FCA25000603,FN0000077,FT FA.2025/20252828,SUCCESS,
2025-05-19T14:49:22.358352,FCA25000604,FN0000077,FT FA.2025/20253042,SUCCESS,
2025-05-19T14:50:20.881809,FCA25000604,FN0000077,FT FA.2025/20253042,SUCCESS,
2025-05-19T14:50:21.031322,FCA25000605,FN0000077,FT FA.2025/20253115,SUCCESS,
2025-05-19T14:51:17.964773,FCA25000605,FN0000077,FT FA.2025/20253115,SUCCESS,
2025-05-19T14:51:18.101470,FCA25000606,FN0000077,FT FA.2025/20253274,SUCCESS,
2025-05-19T14:52:13.515984,FCA25000606,FN0000077,FT FA.2025/20253274,SUCCESS,
2025-05-19T14:52:13.623972,FCA25000607,FN0000090,FT FA.2025/1073,SUCCESS,
2025-05-19T14:53:12.161255,FCA25000607,FN0000090,FT FA.2025/1073,SUCCESS,
2025-05-19T14:53:12.262036,FCA25000608,FN0000090,FT FA.2025/1183,SUCCESS,
2025-05-19T14:54:09.962633,FCA25000608,FN0000090,FT FA.2025/1183,SUCCESS,
2025-05-19T14:54:10.091947,FCA25000609,FN0000090,FT FA.2025/1211,SUCCESS,
2025-05-19T14:55:09.805533,FCA25000609,FN0000090,FT FA.2025/1211,SUCCESS,
2025-05-19T14:55:09.980407,FCA25000610,FN0000704,FT 2025/146,SUCCESS,
2025-05-19T14:56:07.682864,FCA25000610,FN0000704,FT 2025/146,SUCCESS,
2025-05-19T14:56:07.788666,FCA25000611,FN0000082,FT VPT125NFM/018987,SUCCESS,
2025-05-19T14:57:09.358376,FCA25000611,FN0000082,FT VPT125NFM/018987,SUCCESS,
2025-05-19T14:57:09.504954,FCA25000612,FN0000620,6 7/3379,SUCCESS,
2025-05-19T14:58:08.975093,FCA25000612,FN0000620,6 7/3379,SUCCESS,
2025-05-19T14:58:09.099722,FCA25000613,FN0000911,FT 2025A1/3230,SUCCESS,
2025-05-19T14:59:04.540558,FCA25000613,FN0000911,FT 2025A1/3230,SUCCESS,
